"Variable"	"ShortName"	"Section"	"Subsection"	"Category"
"Roads"	"Road"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
"Bridges"	"Bridge"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
"Canals"	"Canal"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
"Ports"	"Port"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
"Mines or quarries"	"Mine"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
"Couriers"	"Courier"	"Social Complexity variables"	"Other"	"infrastruct"
"Postal stations"	"PostStation"	"Social Complexity variables"	"Other"	"infrastruct"
"General postal service"	"PostService"	"Social Complexity variables"	"Other"	"infrastruct"
"Mnemonic devices"	"Mnemonic"	"Social Complexity variables"	"Information"	"writing"
"Nonwritten records"	"NonWRecord"	"Social Complexity variables"	"Information"	"writing"
"Written records"	"WRecord"	"Social Complexity variables"	"Information"	"writing"
"Script"	"Script"	"Social Complexity variables"	"Information"	"writing"
"Non-phonetic writing"	"NonPhWrit"	"Social Complexity variables"	"Information"	"writing"
"Phonetic alphabetic writing"	"PhAlph"	"Social Complexity variables"	"Information"	"writing"
"Lists tables and classifications"	"Lists"	"Social Complexity variables"	"Information"	"writing"
"Calendar"	"Calendar"	"Social Complexity variables"	"Information"	"texts"
"Sacred Texts"	"SacrTxt"	"Social Complexity variables"	"Information"	"texts"
"Religious literature"	"ReligLit"	"Social Complexity variables"	"Information"	"texts"
"Practical literature"	"PractLit"	"Social Complexity variables"	"Information"	"texts"
"History"	"History"	"Social Complexity variables"	"Information"	"texts"
"Philosophy"	"Philosophy"	"Social Complexity variables"	"Information"	"texts"
"Scientific literature"	"SciLit"	"Social Complexity variables"	"Information"	"texts"
"Fiction"	"Fiction"	"Social Complexity variables"	"Information"	"texts"
"Articles"	"Article"	"Social Complexity variables"	"Other"	"money"
"Tokens"	"Token"	"Social Complexity variables"	"Other"	"money"
"Precious metals"	"PrecMetal"	"Social Complexity variables"	"Other"	"money"
"Foreign coins"	"ForCoin"	"Social Complexity variables"	"Other"	"money"
"Indigenous coins"	"IndigCoin"	"Social Complexity variables"	"Other"	"money"
"Paper currency"	"PaperCurr"	"Social Complexity variables"	"Other"	"money"
"Copper"	"Copper"	"Warfare variables"	"MilTech"	"MilMetal"
"Bronze"	"Bronze"	"Warfare variables"	"MilTech"	"MilMetal"
"Iron"	"Iron"	"Warfare variables"	"MilTech"	"MilMetal"
"Steel"	"Steel"	"Warfare variables"	"MilTech"	"MilMetal"
"Javelins"	"Javelin"	"Warfare variables"	"MilTech"	"MilProj"
"Atlatl"	"Atlatl"	"Warfare variables"	"MilTech"	"MilProj"
"Slings"	"Sling"	"Warfare variables"	"MilTech"	"MilProj"
"Self bow"	"SelfBow"	"Warfare variables"	"MilTech"	"MilProj"
"Composite bow"	"CompBow"	"Warfare variables"	"MilTech"	"MilProj"
"Crossbow"	"Crossbow"	"Warfare variables"	"MilTech"	"MilProj"
"Tension siege engines"	"TensSiege"	"Warfare variables"	"MilTech"	"MilProj"
"Sling siege engines"	"SlingSiege"	"Warfare variables"	"MilTech"	"MilProj"
"Gunpowder siege artillery"	"Artillery"	"Warfare variables"	"MilTech"	"MilProj"
"Handheld firearms"	"HandGun"	"Warfare variables"	"MilTech"	"MilProj"
"War clubs"	"WarClub"	"Warfare variables"	"MilTech"	"Weapon"
"Battle axes"	"BattleAxe"	"Warfare variables"	"MilTech"	"Weapon"
"Daggers"	"Dagger"	"Warfare variables"	"MilTech"	"Weapon"
"Swords"	"Sword"	"Warfare variables"	"MilTech"	"Weapon"
"Spears"	"Spear"	"Warfare variables"	"MilTech"	"Weapon"
"Polearms"	"Polearm"	"Warfare variables"	"MilTech"	"Weapon"
"Dogs"	"Dog"	"Warfare variables"	"MilTech"	"MilAnimal"
"Donkeys"	"Donkey"	"Warfare variables"	"MilTech"	"MilAnimal"
"Horses"	"Horse"	"Warfare variables"	"MilTech"	"MilAnimal"
"Camels"	"Camel"	"Warfare variables"	"MilTech"	"MilAnimal"
"Elephants"	"Elephant"	"Warfare variables"	"MilTech"	"MilAnimal"
"Wood bark etc"	"WoodArmor"	"Warfare variables"	"MilTech"	"Armor"
"Leather cloth"	"LeathArmor"	"Warfare variables"	"MilTech"	"Armor"
"Shields"	"Shield"	"Warfare variables"	"MilTech"	"Armor"
"Helmets"	"Helmet"	"Warfare variables"	"MilTech"	"Armor"
"Breastplates"	"Breastplate"	"Warfare variables"	"MilTech"	"Armor"
"Limb protection"	"LimbProt"	"Warfare variables"	"MilTech"	"Armor"
"Chainmail"	"Chainmail"	"Warfare variables"	"MilTech"	"Armor"
"Scaled armor"	"ScaleArmor"	"Warfare variables"	"MilTech"	"Armor"
"Laminar armor"	"LaminArmor"	"Warfare variables"	"MilTech"	"Armor"
"Plate armor"	"PlateArmor"	"Warfare variables"	"MilTech"	"Armor"
"Small vessels (canoes etc)"	"SmallVessel"	"Warfare variables"	"MilTech"	"Naval"
"Merchant ships pressed into service"	"Merchant"	"Warfare variables"	"MilTech"	"Naval"
"Specialized military vessels"	"SpecVessel"	"Warfare variables"	"MilTech"	"Naval"
"Settlements in a defensive position"	"DefPosition"	"Warfare variables"	"Fortifications"	"MilFort"
"Wooden palisades"	"Palisade"	"Warfare variables"	"Fortifications"	"MilFort"
"Earth ramparts"	"Rampart"	"Warfare variables"	"Fortifications"	"MilFort"
"Ditch"	"Ditch"	"Warfare variables"	"Fortifications"	"MilFort"
"Moat"	"Moat"	"Warfare variables"	"Fortifications"	"MilFort"
"Stone walls (non-mortared)"	"NonMStone"	"Warfare variables"	"Fortifications"	"MilFort"
"Stone walls (mortared)"	"StoneWall"	"Warfare variables"	"Fortifications"	"MilFort"
"Fortified camps"	"FortCamp"	"Warfare variables"	"Fortifications"	"MilFort"
"Complex fortifications"	"ComplxFort"	"Warfare variables"	"Fortifications"	"MilFort"
"Long walls"	"LongWall"	"Warfare variables"	"Fortifications"	"MilFort"
"Modern fortifications"	"ModernFort"	"Warfare variables"	"Fortifications"	"MilFort"
"elite status is hereditary"	"HeredStatus"	"Social Complexity variables"	"Status"	"Stratification"
"Ideological reinforcement of equality"	"IdEqual"	"Religion and Normative Ideology"	"Normative Ideological Aspects of Equity and Prosociality"	"AA"
"Ideological thought equates elites and commoners"	"IdElitCom"	"Religion and Normative Ideology"	"Normative Ideological Aspects of Equity and Prosociality"	"AA"
"Ideological thought equates rulers and commoners"	"IdRuleCom"	"Religion and Normative Ideology"	"Normative Ideological Aspects of Equity and Prosociality"	"AA"
"Ideology reinforces prosociality"	"IdProsocial"	"Religion and Normative Ideology"	"Normative Ideological Aspects of Equity and Prosociality"	"AA"
"production of public goods"	"PublGoods"	"Religion and Normative Ideology"	"Normative Ideological Aspects of Equity and Prosociality"	"AA"
"Rulers are legitimated by gods"	"RuleLegGods"	"Religion and Normative Ideology"	"Deification of Rulers"	"AA"
"Rulers are gods"	"RuleGods"	"Religion and Normative Ideology"	"Deification of Rulers"	"AA"
"Constraint on executive by government"	"ConstrGov"	"Institutional Variables"	"Limits on Power of the Chief Executive"	"AA"
"Constraint on executive by non-government"	"ConstrNonGov"	"Institutional Variables"	"Limits on Power of the Chief Executive"	"AA"
"Impeachment"	"Impeach"	"Institutional Variables"	"Limits on Power of the Chief Executive"	"AA"
"Moral concern is primary"	"PrimaryMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing enforcement is certain"	"CertainMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing norms are broad"	"BroadMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing enforcement is targeted"	"TargetedMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing enforcement of rulers"	"RulerMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing religion adopted by elites"	"ElitesMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing religion adopted by commoners"	"CommonersMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing enforcement in afterlife"	"AfterlifeMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing enforcement in this life"	"ThislifeMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
"Moralizing enforcement is agentic"	"AgencyMSP"	"Religion and Normative Ideology"	"Moralizing Supernatural Powers"	"MSP"
